107.01.19 10:42 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_europe.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_europe.jpg
107.01.19 10:42 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_india.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_india.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_india2.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_india2.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_mideast.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_mideast.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_mideast2.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_mideast2.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_russia.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_russia.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_russia2.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_russia2.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_trav2europe.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_trav2europe.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_turkey.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_turkey.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\header_turkey2.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images header_turkey2.jpg
107.01.19 10:43 B I:\Technical_Services_Division\Deborah W\wildershores\images\Hommaire_Ill2_small.jpg --> wwwtest.library.ucla.edu /home/www/test/libraries/special/wildershores/images Hommaire_Ill2_small.jpg
